Date/Time,ZONE ONE:Zone Outdoor Air Drybulb Temperature [C](TimeStep),ZONE ONE:Zone Mean Air Temperature [C](TimeStep) 
 01/03  18:30:00,-8.99902500043719,18.364977597558 
 01/03  18:40:00,-8.99902500043719,17.6644414972016 
 01/03  18:50:00,-8.99902500043719,16.9834026340783 
 01/03  19:00:00,-8.99902500043719,16.3211770557419 
 01/03  19:10:00,-8.99902500043719,15.6731202698825 
 01/03  19:20:00,-8.99902500043719,15.038565968382 
 01/03  19:30:00,-8.99902500043719,14.4188068251942 
 01/03  19:40:00,-8.99902500043719,13.8145692784545 
 01/03  19:50:00,-8.99902500043719,13.2256387931715 
 01/03  20:00:00,-8.99902500043719,12.6514663422842 
 01/03  20:10:00,-8.83235833377052,12.100721708695 
 01/03  20:20:00,-8.66569166710385,11.5736139132965 
 01/03  20:30:00,-8.49902500043719,11.066386340831 
 01/03  20:40:00,-8.33235833377052,10.5766575051711 
 01/03  20:50:00,-8.16569166710385,10.1040056683362 
 01/03  21:00:00,-7.99902500043719,9.6485844167422 
 01/03  21:10:00,-8.16569166710385,9.19463203403795 
 01/03  21:20:00,-8.33235833377052,8.74034918887762 
 01/03  21:30:00,-8.49902500043719,8.29090529349646 
 01/03  21:40:00,-8.66569166710385,7.84943017476848 
 01/03  21:50:00,-8.83235833377052,7.41571763268994 
 01/03  22:00:00,-8.99902500043719,6.98845880405038 
 01/03  22:10:00,-8.99902500043719,6.57440752875803 
 01/03  22:20:00,-8.99902500043719,6.17380940433195 
 01/03  22:30:00,-8.99902500043719,5.78379245674576 
 01/03  22:40:00,-8.99902500043719,5.40253347797847 
 01/03  22:50:00,-8.99902500043719,5.0298007685641 
 01/03  23:00:00,-8.99902500043719,4.66589471719429 
 01/03  23:10:00,-8.99902500043719,4.31078889888097 
 01/03  23:20:00,-8.99902500043719,3.96426560995384 
 01/03  23:30:00,-8.99902500043719,3.62607219025109 
 01/03  23:40:00,-8.99902500043719,3.29600149081855 
 01/03  23:50:00,-8.99902500043719,2.97385572678593 
 01/03  24:00:00,-8.99902500043719,2.6594121515631 
 01/04  00:10:00,-8.83235833377052,2.36184393820113 
 01/04  00:20:00,-8.66569166710385,2.08190371152511 
 01/04  00:30:00,-8.49902500043719,1.81574468355382 
 01/04  00:40:00,-8.33235833377052,1.56040036682899 
 01/04  00:50:00,-8.16569166710385,1.31497415865092 
 01/04  01:00:00,-7.99902500043719,1.07954091385301 
 01/04  01:10:00,-8.33235833377052,0.830347265375953 
 01/04  01:20:00,-8.66569166710385,0.564145272525074 
 01/04  01:30:00,-8.99902500043719,0.289711487206803 
 01/04  01:40:00,-9.33235833377052,1.408584469494251E-002 
 01/04  01:50:00,-9.66569166710385,-0.26107643735166 
 01/04  02:00:00,-9.99902500043719,-0.537074889447904 
 01/04  02:10:00,-9.83235833377052,-0.797310099654034 
 01/04  02:20:00,-9.66569166710385,-1.04014953815979 
 01/04  02:30:00,-9.49902500043719,-1.27094747141853 
 01/04  02:40:00,-9.33235833377052,-1.49280492213098 
 01/04  02:50:00,-9.16569166710385,-1.70528097227513 
 01/04  03:00:00,-8.99902500043719,-1.9067669522685 
 01/04  03:10:00,-9.16569166710385,-2.11088026062359 
 01/04  03:20:00,-9.33235833377052,-2.32025421753458 
 01/04  03:30:00,-9.49902500043719,-2.52995079881406 
 01/04  03:40:00,-9.66569166710385,-2.73569827273076 
 01/04  03:50:00,-9.83235833377052,-2.93645051673873 
 01/04  04:00:00,-9.99902500043719,-3.13306126867587 
 01/04  04:10:00,-9.66569166710385,-3.30317258103139 
 01/04  04:20:00,-9.33235833377052,-3.44419131208856 
 01/04  04:30:00,-8.99902500043719,-3.5653406653636 
 01/04  04:40:00,-8.66569166710385,-3.674576894033 
 01/04  04:50:00,-8.33235833377052,-3.77494582569797 
 01/04  05:00:00,-7.99902500043719,-3.86662192692522 
 01/04  05:10:00,-8.26569166710385,-3.97790992981911 
 01/04  05:20:00,-8.53235833377052,-4.11465604830915 
 01/04  05:30:00,-8.79902500043719,-4.26713246019609 
 01/04  05:40:00,-9.06569166710385,-4.42486862228925 
 01/04  05:50:00,-9.33235833377052,-4.58321992136119 
 01/04  06:00:00,-9.59902500043719,-4.74210287457302 
 01/04  06:10:00,-9.83235833377052,-4.90117194133774 
 01/04  06:20:00,-10.0656916671039,-5.06098818008021 
 01/04  06:30:00,-10.2990250004372,-5.22227152804227 
 01/04  06:40:00,-10.5323583337705,-5.38537079615959 
